1038.4615384615386	1038.4615384615386	3e3	3e3
1038.4615384615386	1038.4615384615386	5700	5700
4800	4800	5700	5700
10369.2	10369.2	11667	11667
11122.8	11122.8	16339.199999999999	16339.199999999999
16998	16998	21969.6	21969.6
22200	22200	27600	27600
22200	22200	28500	28500
22500	22500	3e4	3e4
22500	22500	23538.46153846154	23538.46153846154
22500	22500	23538.46153846154	23538.46153846154
15300	15300	18e3	18e3
8100.000000000001	8100.000000000001	12461.538461538461	12461.538461538461
7615.384615384615	7615.384615384615	7615.384615384615	7615.384615384615
7615.384615384615	7615.384615384615	7615.384615384615	7615.384615384615
7615.384615384615	7615.384615384615	7615.384615384615	7615.384615384615
