st_X,st_Y,RUTA,TIPO,LONGITUD,spjoin_rif
-84.50592255,10.03648912,1,PRIMARIA,48.75,0
-84.50646114,10.03684155,1,PRIMARIA,48.75,0
-84.50722766,10.03769095,1,PRIMARIA,48.75,0
-84.50783911,10.03772678,1,PRIMARIA,48.75,0
-84.50915216,10.03688514,1,PRIMARIA,48.75,0
-84.51072041,10.03581746,1,PRIMARIA,48.75,0
-84.51146814,10.03550049,1,PRIMARIA,48.75,0
-84.51314679,10.03549954,1,PRIMARIA,48.75,0
-84.5133199,10.03525548,1,PRIMARIA,48.75,0
-84.51317336,10.03440574,1,PRIMARIA,48.75,0
-84.51281744,10.03380925,1,PRIMARIA,48.75,0
-84.51196854,10.03334852,1,PRIMARIA,48.75,0
-84.51118428,10.03317732,1,PRIMARIA,48.75,0
-84.50965199,10.03370253,1,PRIMARIA,48.75,0
-84.5087217,10.03359456,1,PRIMARIA,48.75,0
-84.50819206,10.03303433,1,PRIMARIA,48.75,0
-84.50815527,10.03207603,1,PRIMARIA,48.75,0
-84.50864753,10.03155113,1,PRIMARIA,48.75,0
-84.51066289,10.03119756,1,PRIMARIA,48.75,0
-84.5135272,10.03140375,1,PRIMARIA,48.75,0
-84.51474087,10.03210851,1,PRIMARIA,48.75,0
-84.51649261,10.03225216,1,PRIMARIA,48.75,0
-84.51816245,10.03356196,1,PRIMARIA,48.75,0
-84.51912952,10.03369714,1,PRIMARIA,48.75,0
-84.52169275,10.03401192,1,PRIMARIA,48.75,0
-84.52361793,10.03443582,1,PRIMARIA,48.75,0
-84.52425747,10.03595428,1,PRIMARIA,48.75,0
-84.52485942,10.03609857,1,PRIMARIA,48.75,0
-84.52796007,10.03482181,1,PRIMARIA,48.75,0
-84.52910012,10.03450482,1,PRIMARIA,48.75,0
-84.53070592,10.03478396,1,PRIMARIA,48.75,0
-84.53173637,10.03478332,1,PRIMARIA,48.75,0
-84.5337336,10.03365211,1,PRIMARIA,48.75,0
-84.5344813,10.03333508,1,PRIMARIA,48.75,0
-84.53554875,10.03368712,1,PRIMARIA,48.75,0
-84.53622363,10.03368669,1,PRIMARIA,48.75,0
-84.53761013,10.03364964,1,PRIMARIA,48.75,0
-84.53846795,10.03382991,1,PRIMARIA,48.75,0
-84.53917956,10.03453462,1,PRIMARIA,48.75,0
-84.53989244,10.03640572,1,PRIMARIA,48.75,0
-84.54049526,10.03709242,1,PRIMARIA,48.75,0
-84.54141664,10.03740811,1,PRIMARIA,48.75,0
-84.5421287,10.03801351,1,PRIMARIA,48.75,0
-84.54273972,10.03814858,1,PRIMARIA,48.75,0
-84.54558474,10.03652854,1,PRIMARIA,48.75,0
-84.54765428,10.0351527,1,PRIMARIA,48.75,0
-84.54847515,10.03504366,1,PRIMARIA,48.75,0
-84.55217966,10.03606286,1,PRIMARIA,48.75,0
-84.55367587,10.03659537,1,PRIMARIA,48.75,0
-84.55449756,10.03765242,1,PRIMARIA,48.75,0
-84.55491699,10.03750748,1,PRIMARIA,48.75,0
-84.55517242,10.03761579,1,PRIMARIA,48.75,0
-84.55623973,10.03772353,1,PRIMARIA,48.75,0
-84.55687837,10.03775034,1,PRIMARIA,48.75,0
-84.55801742,10.03605879,1,PRIMARIA,48.75,0
-84.55805383,10.03556139,1,PRIMARIA,48.75,0
-84.55758742,10.03411521,1,PRIMARIA,48.75,0
-84.5576601,10.03362696,1,PRIMARIA,48.75,0
-84.55816159,10.03344579,1,PRIMARIA,48.75,0
-84.55908291,10.03366212,1,PRIMARIA,48.75,0
-84.55979443,10.0334808,1,PRIMARIA,48.75,0
-84.56047809,10.03309169,1,PRIMARIA,48.75,0
-84.56086919,10.03140067,1,PRIMARIA,48.75,0
-84.56182615,10.03008895,1,PRIMARIA,48.75,0
-84.56257374,10.02966363,1,PRIMARIA,48.75,0
-84.56402405,10.02944561,1,PRIMARIA,48.75,0
-84.56582072,10.02903733,1,PRIMARIA,48.75,0
-84.56659586,10.02910018,1,PRIMARIA,48.75,0
-84.56706143,10.02937997,1,PRIMARIA,48.75,0
-84.5677013,10.03107024,1,PRIMARIA,48.75,0
-84.56820378,10.0322001,1,PRIMARIA,48.75,0
-84.56866994,10.03326655,1,PRIMARIA,48.75,0
-84.56923545,10.03382666,1,PRIMARIA,48.75,0
-84.56998407,10.03410623,1,PRIMARIA,48.75,0
-84.57111473,10.0340784,1,PRIMARIA,48.75,0
-84.57194466,10.03332726,1,PRIMARIA,48.75,0
-84.57254555,10.03206111,1,PRIMARIA,48.75,0
-84.57297287,10.0303973,1,PRIMARIA,48.75,0
-84.57362006,10.02976397,1,PRIMARIA,48.75,0
-84.57465064,10.02930198,1,PRIMARIA,48.75,0
-84.57625559,10.02912912,1,PRIMARIA,48.75,0
-84.57699469,10.02883007,1,PRIMARIA,48.75,0
-84.57745903,10.0281607,1,PRIMARIA,48.75,0
-84.57716615,10.0265336,1,PRIMARIA,48.75,0
-84.57742108,10.02599987,1,PRIMARIA,48.75,0
-84.57794986,10.0259633,1,PRIMARIA,48.75,0
-84.57852495,10.02653256,1,PRIMARIA,48.75,0
-84.57923707,10.02716486,1,PRIMARIA,48.75,0
-84.58047758,10.02723622,1,PRIMARIA,48.75,0
-84.58141697,10.0267562,1,PRIMARIA,48.75,0
-84.58211773,10.02511942,1,PRIMARIA,48.75,0
-84.58308388,10.02409693,1,PRIMARIA,48.75,0
-84.58499868,10.02285671,1,PRIMARIA,48.75,0
-84.58546306,10.02228691,1,PRIMARIA,48.75,0
-84.58574539,10.02140961,1,PRIMARIA,48.75,0
-84.5856426,10.01822736,1,PRIMARIA,48.75,0
-84.58574159,10.01670845,1,PRIMARIA,48.75,0
